Weapon,CrimeId
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",773090
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",831768
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",6350
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",906534
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",880365
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",54984
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",288750
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",510109
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",874618
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",969635
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",598564
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",855202
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",355680
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",575024
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",552047
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",149072
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",857151
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",824221
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",531664
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",773038
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",970321
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",326337
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",388074
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",161535
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",120877
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",204041
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",365467
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",610444
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",333773
