VictimId,Age,Gender,Ethnicity
463819,0,X,Unknown
479009,38,M,Other
151099,0,X,Unknown
912497,0,X,Unknown
750049,55,F,Hispanic
205292,27,F,Black
200240,21,M,Other
17539,27,M,Black
839915,25,F,Hispanic
442280,48,M,White
307830,1,M,Hispanic
840267,0,X,Unknown
565680,65,F,White
79557,43,M,White
700713,21,F,Hispanic
730661,56,F,White
764908,0,X,Unknown
807179,0,M,Hispanic
357413,21,M,Hispanic
850491,52,F,Hispanic
845084,51,M,Black
428115,57,F,Other
278128,58,F,Hispanic
412767,53,M,Black
828310,32,F,Black
8301,34,M,Asian
669027,49,M,Black
809284,32,F,Hispanic
616385,28,M,White
859098,22,F,Hispanic
40887,48,F,Black
566427,71,F,White
795635,39,M,Other
911983,0,F,Hispanic
452954,18,M,Black
147056,0,X,Unknown
733227,34,M,Asian
694791,26,M,Black
493449,37,M,Black
63159,56,M,Black
776533,63,F,Black
482309,0,X,Unknown
773858,35,M,Hispanic
27688,0,X,Unknown
83506,0,X,Unknown
674599,0,X,Unknown
332751,3,F,Hispanic
59222,47,F,Hispanic
276178,33,M,Hispanic
640408,21,M,Hispanic
623174,34,M,White
189497,33,M,Black
575122,38,F,Other
571242,5,F,Black
460967,0,M,Other
138045,49,M,Asian
867605,28,F,Asian
351583,63,F,Hispanic
453040,0,X,Unknown
560127,41,M,Hispanic
131748,2,M,Hispanic
491275,49,F,Hispanic
942854,48,M,Unknown
735801,58,F,White
738265,0,M,Other
264665,45,M,White
492649,26,M,Black
277788,0,X,Unknown
37503,37,F,Black
147280,0,X,Unknown
537793,0,M,White
201993,27,F,Hispanic
446125,0,X,Unknown
128536,29,F,White
804777,37,M,Black
856889,0,X,Unknown
918085,47,F,Hispanic
248899,25,M,White
348577,0,X,Unknown
362808,27,M,Hispanic
631106,39,F,Hispanic
503758,0,X,Unknown
869188,0,X,Unknown
748932,4,M,Hispanic
116146,32,F,Other
728744,34,M,Hispanic
656430,35,M,White
689121,0,X,Unknown
178644,42,M,Other
257361,16,F,Other
828687,29,M,Hispanic
194231,3,M,White
859064,22,F,Hispanic
798009,45,M,White
111230,0,X,Unknown
387764,0,M,Other
454541,0,X,Unknown
602508,24,M,Other
890557,0,M,White
82301,0,X,Unknown
304265,22,F,Hispanic
775853,66,F,Asian
699762,0,X,Unknown
333062,46,F,Hispanic
437623,54,M,Hispanic
727018,0,X,Unknown
869510,23,M,Hispanic
401687,0,X,Unknown
232158,55,M,Hispanic
521958,41,F,Black
168461,46,M,Other
364029,24,M,Black
90591,34,F,Black
104154,0,X,Unknown
827208,64,M,White
639296,66,M,White
642339,0,X,Unknown
780082,36,M,Hispanic
183839,37,F,Black
5709,31,M,Other
431808,0,X,Unknown
941029,0,X,Unknown
74488,28,M,White
644655,45,M,Asian
384559,0,X,Unknown
934023,0,X,Unknown
661751,22,X,Unknown
508304,0,X,Unknown
151083,3,M,Hispanic
454472,0,X,Unknown
365195,25,M,White
456518,33,F,Black
447971,31,F,Black
292738,74,M,Other
826779,14,F,Black
900015,77,F,Black
194152,0,X,Unknown
132477,21,M,Hispanic
147953,56,F,Black
469013,34,F,Hispanic
307189,0,X,Unknown
744351,0,X,Unknown
805273,32,M,White
688615,0,X,Unknown
596637,21,F,Black
215268,34,F,Hispanic
436914,29,F,Black
468558,38,M,Hispanic
354663,47,F,Black
470018,37,F,Hispanic
892144,0,X,Unknown
932606,47,F,Hispanic
83372,0,M,Other
412704,53,M,Unknown
52039,28,M,Asian
875468,0,M,White
577935,0,M,White
718705,33,M,Hispanic
736934,23,F,Black
522031,0,M,White
795310,0,X,Unknown
150803,67,M,White
193236,58,M,White
902963,0,X,Unknown
768839,56,F,Asian
235860,39,M,Hispanic
556444,6,M,Hispanic
810970,16,M,Hispanic
791350,39,F,Black
451626,59,M,Asian
415880,42,M,Hispanic
799439,3,M,Asian
863318,26,F,Hispanic
427007,81,M,White
574453,39,F,Hispanic
871283,0,X,Unknown
244310,0,X,Unknown
426033,18,M,Hispanic
405431,0,M,White
844749,0,X,Unknown
867711,44,M,Black
488602,3,M,Asian
551667,31,F,White
170678,62,M,Hispanic
536280,3,M,White
937251,64,F,White
920962,31,F,Hispanic
255554,6,M,Black
619624,52,M,Asian
552870,52,M,Hispanic
618273,27,F,Hispanic
861594,3,F,White
656473,17,M,Hispanic
681344,17,F,Hispanic
891332,4,F,Hispanic
281812,38,F,Black
139329,34,M,White
180873,62,F,White
65509,34,M,Hispanic
403316,62,M,Hispanic
232075,0,X,Unknown
14131,57,M,White
588425,3,F,Hispanic
868140,63,M,Hispanic
869025,29,M,Hispanic
567958,29,F,Hispanic
402372,51,F,Black
817973,32,F,Black
392216,28,F,Other
944914,29,M,Hispanic
196525,31,M,Other
920094,0,X,Unknown
425299,25,F,White
909910,34,M,Hispanic
460331,0,X,Unknown
679003,63,M,White
765192,31,F,White
929773,21,F,White
537853,5,M,Pacific Islander
631926,0,X,Unknown
219860,48,M,Black
221447,0,M,Other
511219,38,M,Hispanic
775337,22,X,Unknown
30001,0,X,Unknown
264894,0,X,Unknown
511822,55,F,Black
268062,0,X,Unknown
799796,0,X,Unknown
949456,73,M,White
904821,3,M,Black
704575,3,F,White
765142,36,M,Hispanic
519899,36,F,White
455935,35,F,White
658223,26,F,Hispanic
419293,0,X,Unknown
464947,34,F,Hispanic
962430,0,X,Unknown
864588,5,M,Hispanic
515287,16,F,Black
327126,33,M,Hispanic
426988,23,F,Hispanic
875363,33,M,White
728339,24,F,Hispanic
491395,37,F,Black
228924,53,F,Hispanic
960721,0,X,Unknown
678975,0,M,White
84257,0,X,Unknown
378668,39,M,White
612077,67,M,Hispanic
530845,0,X,Unknown
593000,35,M,Hispanic
671466,0,X,Unknown
370299,38,F,Asian
455461,25,M,Hispanic
540487,41,X,Unknown
104311,56,M,Hispanic
631803,31,F,Hispanic
422044,0,X,Unknown
288458,36,M,Hispanic
382603,0,X,Unknown
5152,36,F,Hispanic
471727,84,F,White
334575,47,M,White
381125,2,F,Hispanic
203395,32,F,Hispanic
120259,27,M,Hispanic
697694,0,X,Unknown
297059,0,X,Unknown
512451,6,F,Hispanic
37446,51,M,White
680731,56,F,White
126975,41,F,Other
926711,0,X,Unknown
448994,0,X,Unknown
430309,5,F,Hispanic
910376,25,F,Black
485191,0,X,Unknown
361668,36,M,Hispanic
474165,45,F,Hispanic
168725,71,F,White
92400,2,F,White
469987,0,X,Unknown
409196,3,M,Asian
637161,42,M,White
680121,64,M,White
396907,0,X,Unknown
113987,46,F,Black
811781,33,F,Hispanic
57290,0,M,Other
863348,39,F,Hispanic
406841,28,F,Black
316174,29,F,Other
189395,35,M,Hispanic
904572,34,M,Hispanic
835565,34,F,Hispanic
838079,0,X,Unknown
451130,26,F,Black
604556,33,M,White
748541,19,F,Black
47805,67,F,Black
728422,0,X,Unknown
16142,36,M,Hispanic
184945,0,X,Unknown
961363,3,M,Black
201689,0,X,Unknown
323131,21,M,Black
446356,46,M,Black
122891,0,M,White
360890,2,F,Black
449244,38,F,Black
595471,23,F,Black
804513,38,F,Black
384202,7,F,White
148908,31,F,White
203206,58,M,White
612464,38,M,White
121142,42,F,Black
402715,36,F,Black
749940,14,F,Hispanic
152711,23,F,Hispanic
82939,3,F,White
99701,35,M,White
614460,31,F,White
318213,0,X,Unknown
510932,0,X,Unknown
265824,4,M,Other
674578,6,M,Other
399315,35,M,White
137387,15,F,Black
251740,42,F,Hispanic
42348,21,F,Hispanic
620882,35,M,Black
947733,0,X,Unknown
225523,0,X,Unknown
866877,55,M,Hispanic
683474,0,X,Unknown
750382,0,X,Unknown
560230,36,F,White
147842,36,M,White
241430,0,M,Other
649480,7,M,White
222248,41,F,Hispanic
297111,0,X,Unknown
26637,0,X,Unknown
158738,27,F,Hispanic
220815,35,F,Hispanic
452858,29,F,Hispanic
26529,0,X,Unknown
51896,0,X,Unknown
684584,37,M,White
739661,23,M,Hispanic
128043,27,F,Hispanic
747088,32,F,White
9236,46,M,Asian
324060,0,X,Unknown
712805,41,F,Hispanic
310664,0,X,Unknown
58941,0,X,Unknown
961645,72,M,Black
54772,0,X,Unknown
827623,37,M,Black
489003,5,M,White
928110,37,F,Asian
529905,0,M,Unknown
476424,4,F,Hispanic
143249,22,F,Hispanic
125488,0,X,Unknown
783380,46,M,Black
900511,0,X,Unknown
674351,54,F,Black
901505,25,F,White
275360,0,X,Unknown
552002,58,F,White
835556,0,X,Unknown
515738,29,F,White
208051,0,M,White
162910,52,F,Black
514202,38,F,Hispanic
94437,27,F,Hispanic
15667,39,F,Hispanic
831821,43,M,White
955001,35,M,Hispanic
402640,39,F,Hispanic
