CrimeId,StreetId,DateTime
943867,7000 ETIWANDA AV,2024-04-04T22:00:00Z
870843,7000 ETIWANDA AV,2023-04-13T17:35:00Z
662739,7000 ETIWANDA AV,2023-03-03T12:46:00Z
120956,300 N VERMONT AV,2020-05-31T10:45:00Z
597497,300 N VERMONT AV,2022-08-23T00:01:00Z
866614,300 N VERMONT AV,2023-07-29T15:00:00Z
708846,300 N VERMONT AV,2023-03-31T17:00:00Z
509581,300 N VERMONT AV,2022-02-06T12:00:00Z
185090,300 N VERMONT AV,2020-11-16T09:00:00Z
781778,300 N VERMONT AV,2023-04-21T09:40:00Z
186052,300 N VERMONT AV,2020-10-06T00:30:00Z
373330,300 N VERMONT AV,2021-05-06T21:00:00Z
737414,300 N VERMONT AV,2023-04-02T08:03:00Z
383036,300 N VERMONT AV,2021-03-28T16:00:00Z
180855,300 N VERMONT AV,2020-04-01T12:30:00Z
154618,1100 S OAKHURST DR,2020-02-13T11:00:00Z
288829,1100 S OAKHURST DR,2021-12-12T21:00:00Z
164864,1800 W MARTIN LUTHER KING JR BL,2020-10-18T12:30:00Z
392841,1800 W MARTIN LUTHER KING JR BL,2021-12-01T00:01:00Z
965726,300 E 84TH PL,2020-08-28T19:42:00Z
496840,300 E 84TH PL,2022-10-02T14:30:00Z
965726,300 E 84TH PL,2020-08-28T19:42:00Z
971957,10900 WILSHIRE BL,2022-03-23T12:00:00Z
799439,10900 WILSHIRE BL,2023-07-20T20:00:00Z
848367,10900 WILSHIRE BL,2023-01-14T11:08:00Z
143446,10900 WILSHIRE BL,2020-08-21T07:55:00Z
83667,10900 WILSHIRE BL,2020-07-05T20:00:00Z
877913,10900 WILSHIRE BL,2024-04-19T00:01:00Z
415520,10900 WILSHIRE BL,2022-12-03T10:30:00Z
971229,OCEAN FRONT WK,2022-01-19T11:00:00Z
446617,OCEAN FRONT WK,2022-06-03T20:15:00Z
276549,OCEAN FRONT WK,2021-04-20T16:02:00Z
180195,OCEAN FRONT WK,2020-01-06T18:57:00Z
631626,OCEAN FRONT WK,2022-10-26T10:42:00Z
183320,OCEAN FRONT WK,2020-10-17T05:45:00Z
883230,OCEAN FRONT WK,2024-02-28T21:00:00Z
395225,OCEAN FRONT WK,2021-12-11T15:00:00Z
97474,OCEAN FRONT WK,2020-05-07T23:15:00Z
350086,OCEAN FRONT WK,2021-01-18T22:19:00Z
482212,OCEAN FRONT WK,2022-03-04T17:40:00Z
223079,OCEAN FRONT WK,2021-05-09T10:20:00Z
284762,OCEAN FRONT WK,2021-01-01T00:30:00Z
266319,OCEAN FRONT WK,2021-06-18T08:45:00Z
265559,OCEAN FRONT WK,2021-04-10T20:00:00Z
2915,OCEAN FRONT WK,2020-07-15T17:00:00Z
381374,OCEAN FRONT WK,2021-02-25T16:15:00Z
528338,OCEAN FRONT WK,2022-05-18T06:45:00Z
966417,OCEAN FRONT WK,2020-10-26T23:00:00Z
362273,OCEAN FRONT WK,2021-06-05T21:00:00Z
814328,OCEAN FRONT WK,2023-12-10T11:00:00Z
43755,OCEAN FRONT WK,2020-11-10T16:20:00Z
76392,9200 ZELZAH AV,2020-02-11T18:00:00Z
604346,800 W 76TH ST,2022-11-04T17:00:00Z
805261,7000 VAN NUYS BL,2023-08-30T18:20:00Z
755325,7000 VAN NUYS BL,2023-10-02T05:00:00Z
874321,7000 VAN NUYS BL,2023-03-14T01:00:00Z
715582,7000 VAN NUYS BL,2023-09-01T12:00:00Z
469180,7000 VAN NUYS BL,2022-06-20T08:00:00Z
324332,7000 VAN NUYS BL,2021-05-25T21:25:00Z
67352,7000 VAN NUYS BL,2020-11-21T23:00:00Z
290771,2900 N BROADWAY,2021-09-07T14:55:00Z
110295,2900 N BROADWAY,2020-10-20T14:45:00Z
529654,2900 N BROADWAY,2022-09-24T01:50:00Z
747867,2900 N BROADWAY,2023-01-29T04:30:00Z
906760,1400 E 114TH ST,2024-01-12T22:00:00Z
738826,1400 E 114TH ST,2023-08-08T16:00:00Z
203391,1400 E 114TH ST,2021-03-11T03:00:00Z
42604,1400 E 114TH ST,2020-05-23T21:00:00Z
51677,300 W 9TH ST,2020-06-25T20:45:00Z
644869,300 W 9TH ST,2023-12-03T03:30:00Z
848406,300 W 9TH ST,2023-12-26T23:50:00Z
558003,300 W 9TH ST,2022-12-13T12:00:00Z
502798,300 W 9TH ST,2022-11-02T22:00:00Z
593352,300 W 9TH ST,2022-01-17T01:30:00Z
801815,300 W 9TH ST,2023-05-30T12:50:00Z
828349,300 W 9TH ST,2023-01-02T20:00:00Z
43356,300 W 9TH ST,2020-11-29T21:00:00Z
270721,600 S CARONDELET ST,2021-08-22T12:45:00Z
97104,600 S CARONDELET ST,2020-02-09T03:00:00Z
110389,600 S CARONDELET ST,2020-05-06T14:50:00Z
199167,KITTRIDGE ST,2020-02-21T21:00:00Z
885657,KITTRIDGE ST,2024-03-30T01:20:00Z
120254,KITTRIDGE ST,2020-12-13T14:00:00Z
33821,KITTRIDGE ST,2020-02-07T05:00:00Z
448113,KITTRIDGE ST,2022-03-20T16:55:00Z
628047,KITTRIDGE ST,2022-09-02T20:45:00Z
782555,KITTRIDGE ST,2023-12-08T22:00:00Z
156490,VENTURA BL,2020-09-11T13:00:00Z
912768,VENTURA BL,2024-04-20T08:00:00Z
427057,VENTURA BL,2022-01-08T18:25:00Z
921955,VENTURA BL,2024-05-28T00:01:00Z
768109,VENTURA BL,2023-01-27T11:40:00Z
251245,VENTURA BL,2021-09-04T11:35:00Z
136021,VENTURA BL,2020-06-08T00:45:00Z
344233,VENTURA BL,2021-09-05T18:30:00Z
769192,VENTURA BL,2023-03-03T10:00:00Z
835729,VENTURA BL,2023-08-26T14:36:00Z
795303,VENTURA BL,2023-05-11T01:30:00Z
875727,VENTURA BL,2023-05-26T16:00:00Z
662056,VENTURA BL,2023-05-12T15:15:00Z
625860,VENTURA BL,2022-11-25T13:00:00Z
141385,VENTURA BL,2020-07-13T12:30:00Z
658293,VENTURA BL,2023-04-20T01:30:00Z
965162,VENTURA BL,2020-07-13T05:15:00Z
607009,VENTURA BL,2022-06-01T10:05:00Z
799811,VENTURA BL,2023-02-11T07:00:00Z
111028,VENTURA BL,2020-09-18T02:50:00Z
532424,VENTURA BL,2022-04-15T19:50:00Z
298166,VENTURA BL,2021-08-23T07:45:00Z
217622,VENTURA BL,2021-11-30T16:00:00Z
26589,VENTURA BL,2020-09-22T08:00:00Z
41100,VENTURA BL,2020-08-01T23:30:00Z
973284,200 E 47TH ST,2022-07-09T18:25:00Z
67552,SOUTHWEST BL,2020-11-30T14:30:00Z
945089,15300 VANOWEN ST,2024-02-02T15:00:00Z
60880,15300 VANOWEN ST,2020-08-20T22:00:00Z
381976,15300 VANOWEN ST,2021-07-25T13:50:00Z
676129,15300 VANOWEN ST,2023-03-05T01:00:00Z
845691,15300 VANOWEN ST,2023-11-18T15:00:00Z
589342,3600 WHITTIER BL,2022-01-09T21:00:00Z
136242,3600 WHITTIER BL,2020-08-27T02:55:00Z
224816,3600 WHITTIER BL,2021-04-22T23:25:00Z
685212,3600 WHITTIER BL,2023-06-17T11:05:00Z
641743,6100 RESEDA BL,2022-09-22T16:00:00Z
965031,6100 RESEDA BL,2020-07-03T01:20:00Z
803022,6100 RESEDA BL,2023-03-20T01:47:00Z
784500,6100 RESEDA BL,2023-12-31T16:00:00Z
527649,6100 RESEDA BL,2022-03-26T05:00:00Z
979792,6100 RESEDA BL,2024-01-20T17:25:00Z
520681,6100 RESEDA BL,2022-12-01T19:05:00Z
325708,6100 RESEDA BL,2021-03-21T02:30:00Z
262686,5000 MERIDIAN ST,2021-10-06T15:18:00Z
725490,2800 E OBSERVATORY RD,2023-04-20T09:30:00Z
925376,2800 E OBSERVATORY RD,2024-06-29T09:30:00Z
207195,2800 E OBSERVATORY RD,2021-07-23T12:44:00Z
650906,2800 E OBSERVATORY RD,2023-05-19T11:30:00Z
